strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
10,0.202513,0.000,0.000,2.000,1.000,0.000,1.000,-20.520,-20.520,-15.960,-18.240,-20.520,-18.240
231,0.201787,2.000,2.000,2.000,1.000,2.000,1.000,-15.960,-15.960,-15.960,-18.240,-15.960,-18.240
417,0.208349,16.000,4.000,0.000,16.000,3.000,1.000,15.960,-11.400,-20.520,15.960,-13.680,-18.240
596,0.198627,12.000,5.000,1.000,13.000,5.000,2.000,6.840,-9.120,-18.240,9.120,-9.120,-15.960
602,0.202185,14.000,5.000,1.000,13.000,5.000,2.000,11.400,-9.120,-18.240,9.120,-9.120,-15.960
605,0.205283,13.000,4.000,1.000,13.000,5.000,2.000,9.120,-11.400,-18.240,9.120,-9.120,-15.960
606,0.209532,13.000,6.000,1.000,13.000,5.000,2.000,9.120,-6.840,-18.240,9.120,-9.120,-15.960
1081,0.207535,18.000,10.000,0.000,18.000,9.000,1.000,20.520,2.280,-20.520,20.520,0.000,-18.240
1288,0.204997,15.000,10.000,1.000,16.000,11.000,1.000,13.680,2.280,-18.240,15.960,4.560,-18.240
1310,0.202312,16.000,11.000,1.000,17.000,12.000,1.000,15.960,4.560,-18.240,18.240,6.840,-18.240
1372,0.204655,4.000,12.000,0.000,4.000,13.000,1.000,-11.400,6.840,-20.520,-11.400,9.120,-18.240
1666,0.198918,10.000,16.000,2.000,10.000,15.000,1.000,2.280,15.960,-15.960,2.280,13.680,-18.240
1728,0.202975,15.000,14.000,1.000,16.000,15.000,1.000,13.680,11.400,-18.240,15.960,13.680,-18.240
2251,0.200754,0.000,3.000,3.000,1.000,2.000,3.000,-20.520,-13.680,-13.680,-18.240,-15.960,-13.680
2289,0.204073,4.000,4.000,2.000,4.000,3.000,3.000,-11.400,-11.400,-15.960,-11.400,-13.680,-13.680
2359,0.199245,10.000,4.000,2.000,11.000,3.000,2.000,2.280,-11.400,-15.960,4.560,-13.680,-15.960
2382,0.202876,14.000,4.000,2.000,13.000,3.000,2.000,11.400,-11.400,-15.960,9.120,-13.680,-15.960
2600,0.203416,12.000,4.000,2.000,13.000,5.000,2.000,6.840,-11.400,-15.960,9.120,-9.120,-15.960
2601,0.205210,14.000,4.000,2.000,13.000,5.000,2.000,11.400,-11.400,-15.960,9.120,-9.120,-15.960
2602,0.203629,14.000,6.000,2.000,13.000,5.000,2.000,11.400,-6.840,-15.960,9.120,-9.120,-15.960
2603,0.204797,12.000,6.000,2.000,13.000,5.000,2.000,6.840,-6.840,-15.960,9.120,-9.120,-15.960
2613,0.200483,12.000,5.000,3.000,13.000,5.000,2.000,6.840,-9.120,-13.680,9.120,-9.120,-15.960
2616,0.199176,14.000,5.000,3.000,13.000,5.000,2.000,11.400,-9.120,-13.680,9.120,-9.120,-15.960
2619,0.211421,13.000,4.000,3.000,13.000,5.000,2.000,9.120,-11.400,-13.680,9.120,-9.120,-15.960
2623,0.208980,13.000,6.000,3.000,13.000,5.000,2.000,9.120,-6.840,-13.680,9.120,-9.120,-15.960
3015,0.208087,9.000,10.000,3.000,9.000,9.000,2.000,0.000,2.280,-13.680,0.000,0.000,-15.960
3201,0.208036,6.000,11.000,3.000,7.000,11.000,2.000,-6.840,4.560,-13.680,-4.560,4.560,-15.960
3256,0.206561,11.000,10.000,3.000,12.000,11.000,3.000,4.560,2.280,-13.680,6.840,4.560,-13.680
3912,0.201915,9.000,16.000,3.000,10.000,17.000,3.000,0.000,15.960,-13.680,2.280,18.240,-13.680
4084,0.205508,4.000,0.000,4.000,4.000,1.000,5.000,-11.400,-20.520,-11.400,-11.400,-18.240,-9.120
4101,0.204688,5.000,0.000,5.000,5.000,1.000,6.000,-9.120,-20.520,-9.120,-9.120,-18.240,-6.840
4129,0.206696,10.000,0.000,4.000,9.000,1.000,4.000,2.280,-20.520,-11.400,0.000,-18.240,-11.400
4182,0.209141,12.000,2.000,6.000,12.000,1.000,5.000,6.840,-15.960,-6.840,6.840,-18.240,-9.120
