strut_id,defect_class,touches_excluded_nominal_plane,excluded_nominal_axis,excluded_nominal_value,x0_nominal,y0_nominal,z0_nominal,x1_nominal,y1_nominal,z1_nominal,same_material_component_connects_a_to_b,a_collar_foreground_fraction,b_collar_foreground_fraction,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,minimum_endpoint_to_collar_component_voxel_count_in_corridor,central_material_slice_fraction,a_side_material_slice_fraction,b_side_material_slice_fraction,longest_empty_run_slices,central_mean_foreground_fraction,central_reference_foreground_fraction_p90,central_minimum_foreground_fraction,central_minimum_smoothed_foreground_fraction,central_minimum_relative_to_reference,central_material_loss_fraction,central_deficit_cutoff_foreground_fraction,central_deficit_fraction,longest_deficit_run_samples,minimum_endpoint_collar_foreground_fraction,both_endpoint_segments_observed,reasons
178,broken,False,y,18.0,14.0,0.0,2.0,15.0,0.0,1.0,False,0.115044247788,0.318584070796,1424,2083,1424,0.696969696969697,0.09090909090909091,1.0,10,0.13783856261732366,0.2902654867256637,0.0,0.0,0.0,0.5323355506282336,0.14513274336283186,0.45454545454545453,15,0.115044247788,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
434,broken,False,y,18.0,18.0,3.0,1.0,17.0,3.0,2.0,False,0.29203539823,0.106194690265,1765,1514,1514,0.6666666666666666,1.0,0.0,11,0.1378385626173237,0.2814159292035398,0.0,0.0,0.0,0.5157232704402516,0.1407079646017699,0.45454545454545453,15,0.106194690265,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
846,broken,False,y,18.0,16.0,7.0,1.0,15.0,7.0,2.0,False,0.345132743363,0.309734513274,2246,1700,1700,0.7575757575757576,1.0,0.2727272727272727,8,0.17752748726200054,0.31327433628318585,0.0,0.0,0.0,0.4396507447354905,0.15663716814159293,0.3939393939393939,13,0.309734513274,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2061,broken,False,y,18.0,3.0,0.0,3.0,3.0,1.0,4.0,False,0.234513274336,0.212389380531,1914,1669,1669,0.9090909090909091,1.0,0.7272727272727273,3,0.1877178868329311,0.25486725663716814,0.0,0.0,0.0,0.2664141414141414,0.12743362831858407,0.24242424242424243,8,0.212389380531,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2074,broken,False,y,18.0,4.0,0.0,4.0,5.0,0.0,3.0,False,0.287610619469,0.252212389381,1487,1955,1487,0.7272727272727273,0.18181818181818182,1.0,9,0.13703405738803967,0.24778761061946902,0.0,0.0,0.0,0.45346320346320346,0.12389380530973451,0.48484848484848486,16,0.252212389381,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2302,broken,False,y,18.0,6.0,3.0,3.0,5.0,3.0,4.0,False,0.256637168142,0.185840707965,2144,1628,1628,0.8484848484848485,1.0,0.5454545454545454,5,0.14802896218825423,0.24778761061946902,0.0,0.0029498525073746312,0.011904761904761904,0.4047619047619047,0.12389380530973451,0.3939393939393939,9,0.185840707965,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2412,broken,False,y,18.0,14.0,2.0,2.0,15.0,2.0,3.0,False,0.384955752212,0.261061946903,1760,2328,1760,0.8787878787878788,0.6363636363636364,1.0,4,0.2322338428533119,0.3805309734513274,0.008849557522123894,0.02359882005899705,0.06201550387596899,0.3932346723044398,0.1902654867256637,0.30303030303030304,10,0.261061946903,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2640,broken,False,y,18.0,16.0,5.0,3.0,15.0,5.0,2.0,False,0.33185840708,0.389380530973,1760,2156,1760,0.8181818181818182,0.45454545454545453,1.0,6,0.1753821399839099,0.3185840707964602,0.0,0.0,0.0,0.4638047138047138,0.1592920353982301,0.42424242424242425,14,0.33185840708,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
2888,broken,False,y,18.0,18.0,7.0,3.0,17.0,7.0,2.0,False,0.163716814159,0.327433628319,1278,2244,1278,0.7575757575757576,0.2727272727272727,1.0,8,0.1944220970769643,0.35221238938053095,0.0,0.0029498525073746312,0.008375209380234507,0.45012943505405817,0.17610619469026548,0.3939393939393939,13,0.163716814159,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
3544,broken,False,y,18.0,16.0,13.0,3.0,17.0,13.0,4.0,False,0.256637168142,0.163716814159,1975,1587,1587,0.7575757575757576,1.0,0.2727272727272727,8,0.11960311075355323,0.2088495575221239,0.0,0.0029498525073746312,0.014124293785310734,0.44221879815100157,0.10442477876106195,0.42424242424242425,14,0.163716814159,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
