strut_id,junction0_id,junction1_id,length_voxels,corridor_radius_voxels,cuboid_half_width_voxels,axial_padding_fraction_total,corridor_foreground_fraction,minimum_foreground_fraction,median_foreground_fraction,maximum_foreground_fraction,maximum_axial_gap_samples,maximum_axial_gap_fraction,endpoint0_support_fraction,endpoint1_support_fraction,a_collar_foreground_fraction,b_collar_foreground_fraction,interior_component_count,largest_component_fraction,same_material_component_connects_a_to_b,same_component_connects_collar_a_to_b,shared_component_voxel_count_in_corridor,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,both_endpoint_segments_observed,junction_masked_collar_shared_component_voxel_count_in_corridor,edt_radius_median_voxels,centerline_curvature_rms_voxels,roi_in_bounds_fraction,roi_valid
0,0,9,55.3565796205,6,8,0.2,0.449930135072,0.274336283186,0.345132743363,0.442477876106,0,0,0.315634218289,0.991150442478,0.274336283186,0.442477876106,2,0.95306341813,true,true,3403,3403,3403,true,2660,2.2360679775,0.22610385013,1,true
1,1,9,54.8662137513,6,8,0.2,0.872787610619,0.725663716814,0.787610619469,0.964601769912,0,0,1,0.997050147493,0.790560471976,0.967551622419,1,1,true,true,6843,6843,6843,true,5371,4.472135955,0.436274987898,1,true
2,2,9,55.3565796205,6,8,0.2,0.762303990064,0.548672566372,0.690265486726,0.752212389381,0,0,1,0.997050147493,0.761061946903,0.53982300885,1,1,true,true,6264,6264,6264,true,4758,4,0.233855786861,1,true
3,3,9,52.6602758051,6,8,0.2,0.764667322189,0.610619469027,0.672566371681,0.823008849558,0,0,0.893805309735,0.991150442478,0.663716814159,0.827433628319,1,1,true,true,5782,5782,5782,true,4514,4.06155281281,0.371260596876,1,true
4,0,10,54.5487182624,6,8,0.2,0.260745891277,0.0884955752212,0.16814159292,0.185840707965,3,0.0909090909091,0.300884955752,0.926253687316,0.0884955752212,0.156342182891,2,0.9837977965,true,true,2214,2214,2214,true,1518,2,0.314849433821,1,true
5,3,10,56.1110368305,6,8,0.2,0.376411351846,0.0796460176991,0.238938053097,0.283185840708,1,0.0294117647059,0.746312684366,0.88790560472,0.0796460176991,0.243362831858,1,1,true,true,3596,3596,3596,true,2316,2.2360679775,0.498008379289,1,true
6,4,10,55.193921807,6,8,0.2,0.401335196398,0.203539823009,0.230088495575,0.274336283186,0,0,0.88790560472,0.93215339233,0.230088495575,0.252212389381,1,1,true,true,3707,3707,3707,true,2433,2.82842712475,0.233209403588,1,true
7,5,10,55.3526622575,6,8,0.2,0.309734513274,0.0442477876106,0.16814159292,0.185840707965,4,0.121212121212,0.684365781711,0.929203539823,0.185840707965,0.132743362832,1,1,true,true,2961,2961,2961,true,1843,2.2360679775,1.07334729685,1,true
8,0,12,54.9237682374,6,8,0.2,0.347977243995,0.194690265487,0.252212389381,0.398230088496,0,0,0.200589970501,0.949852507375,0.203539823009,0.309734513274,2,0.987087517934,true,true,2827,2827,2827,true,2064,2.82842712475,0.57259904862,1,true
9,1,12,54.5418755483,6,8,0.2,0.42193426043,0.0176991150442,0.159292035398,0.46017699115,10,0.30303030303,1,1,0.47197640118,0.312684365782,1,1,true,true,3917,3917,3917,true,2518,2,1.89683367393,1,true
10,5,12,55.4981298116,6,8,0.2,0.179009470579,0,0,0,33,1,0.802359882006,0.997050147493,0,0,2,0.609390609391,false,false,0,0,0,false,0,0,0,1,true
11,6,12,55.1425006398,6,8,0.2,0.461729545102,0.256637168142,0.300884955752,0.371681415929,0,0,0.988200589971,0.94395280236,0.278761061947,0.371681415929,1,1,true,true,4227,4227,4227,true,2822,2.82842712475,0.365264329833,1,true
