strut_id,defect_class,touches_excluded_nominal_plane,excluded_nominal_axis,excluded_nominal_value,x0_nominal,y0_nominal,z0_nominal,x1_nominal,y1_nominal,z1_nominal,same_material_component_connects_a_to_b,a_collar_foreground_fraction,b_collar_foreground_fraction,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,minimum_endpoint_to_collar_component_voxel_count_in_corridor,central_reference_foreground_fraction_p90,central_minimum_foreground_fraction,central_minimum_smoothed_foreground_fraction,central_minimum_relative_to_reference,central_material_loss_fraction,central_deficit_cutoff_foreground_fraction,central_deficit_fraction,longest_deficit_run_samples,minimum_endpoint_collar_foreground_fraction,both_endpoint_segments_observed,reasons
10,missing,False,y,18.0,0.0,0.0,2.0,1.0,0.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
178,missing,False,y,18.0,14.0,0.0,2.0,15.0,0.0,1.0,False,0.115044247788,0.318584070796,1424,2083,1424,0.2902654867256637,0.0,0.0,0.0,0.5323355506282336,0.14513274336283186,0.45454545454545453,15,0.115044247788,True,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
214,missing,False,y,18.0,18.0,1.0,1.0,17.0,1.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
417,missing,False,y,18.0,16.0,4.0,0.0,16.0,3.0,1.0,False,0.991150442478,0.0,2627,0,0,0.7327433628318583,0.0,0.0,0.0,0.8166382495026996,0.36637168141592913,0.8235294117647058,28,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
434,missing,False,y,18.0,18.0,3.0,1.0,17.0,3.0,2.0,False,0.29203539823,0.106194690265,1765,1514,1514,0.2814159292035398,0.0,0.0,0.0,0.5157232704402516,0.1407079646017699,0.45454545454545453,15,0.106194690265,True,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
846,missing,False,y,18.0,16.0,7.0,1.0,15.0,7.0,2.0,False,0.345132743363,0.309734513274,2246,1700,1700,0.31327433628318585,0.0,0.0,0.0,0.4396507447354905,0.15663716814159293,0.3939393939393939,13,0.309734513274,True,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
946,missing,False,y,18.0,6.0,9.0,1.0,5.0,9.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1088,missing,False,y,18.0,16.0,9.0,1.0,17.0,9.0,2.0,False,0.384955752212,0.0,2352,0,0,0.34690265486725663,0.0,0.0,0.0,0.44820655534941256,0.17345132743362832,0.30303030303030304,10,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1310,missing,False,y,18.0,16.0,11.0,1.0,17.0,12.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1475,missing,False,y,18.0,14.0,12.0,2.0,13.0,12.0,1.0,False,0.0353982300885,0.398230088496,1620,2352,1620,0.36814159292035403,0.0,0.0,0.0,0.5101981351981353,0.18407079646017702,0.45454545454545453,15,0.0353982300885,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1666,missing,False,y,18.0,10.0,16.0,2.0,10.0,15.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1728,missing,False,y,18.0,15.0,14.0,1.0,16.0,15.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1766,missing,True,y,18.0,0.0,18.0,2.0,0.0,17.0,1.0,False,0.0,0.194690265487,0,1794,0,0.24424778761061947,0.0,0.0,0.0,0.5406236275801493,0.12212389380530973,0.48484848484848486,16,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1772,missing,True,y,18.0,2.0,18.0,0.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1773,missing,True,y,18.0,0.0,18.0,0.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
1774,missing,True,y,18.0,0.0,18.0,2.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|three_slice_smoothed_central_minimum_is_zero
