strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm,minimum_foreground_fraction
178,0.200552,4.000,16.000,18.000,3.000,17.000,18.000,-11.400,15.960,20.520,-13.680,18.240,20.520,0.0
846,0.199278,2.000,17.000,11.000,3.000,16.000,11.000,-15.960,18.240,4.560,-13.680,15.960,4.560,0.013536378741264343
2061,0.193643,15.000,14.000,17.000,15.000,15.000,18.000,13.680,11.400,18.240,13.680,13.680,20.520,0.0
2074,0.203031,14.000,14.000,18.000,13.000,15.000,18.000,11.400,11.400,20.520,9.120,13.680,20.520,0.006768189370632172
2302,0.199854,12.000,15.000,15.000,13.000,14.000,15.000,6.840,13.680,13.680,9.120,11.400,13.680,0.02030456873277823
2412,0.199200,4.000,16.000,16.000,3.000,15.000,16.000,-11.400,15.960,15.960,-13.680,13.680,15.960,0.037225041538476944
2640,0.203208,2.000,15.000,13.000,3.000,16.000,13.000,-15.960,13.680,9.120,-13.680,15.960,9.120,0.006768189370632172
2888,0.201720,0.000,15.000,11.000,1.000,16.000,11.000,-20.520,13.680,4.560,-18.240,15.960,4.560,0.001692047342658043
3199,0.202107,10.000,14.000,8.000,11.000,15.000,8.000,2.280,11.400,-2.280,4.560,13.680,-2.280,0.028764805446068444
3544,0.199874,1.000,14.000,5.000,2.000,15.000,5.000,-18.240,11.400,-9.120,-15.960,13.680,-9.120,0.008460236713290215
3815,0.207340,14.000,14.000,2.000,15.000,15.000,2.000,11.400,11.400,-15.960,13.680,13.680,-15.960,0.018612520769238472
3954,0.209405,6.000,14.000,2.000,5.000,15.000,2.000,-6.840,11.400,-15.960,-9.120,13.680,-15.960,0.032148899510502815
4050,0.201731,16.000,13.000,17.000,17.000,12.000,17.000,15.960,9.120,18.240,18.240,6.840,18.240,0.025380710139870644
4090,0.204612,14.000,12.000,18.000,13.000,13.000,18.000,11.400,6.840,20.520,9.120,9.120,20.520,0.018612520769238472
4221,0.210223,3.000,12.000,17.000,3.000,13.000,18.000,-13.680,6.840,18.240,-13.680,9.120,20.520,0.0
4340,0.197439,10.000,13.000,15.000,11.000,14.000,15.000,2.280,9.120,13.680,4.560,11.400,13.680,0.0
4923,0.205378,16.000,12.000,10.000,17.000,13.000,10.000,15.960,6.840,2.280,18.240,9.120,2.280,0.0
4976,0.208029,12.000,13.000,9.000,13.000,14.000,9.000,6.840,9.120,0.000,9.120,11.400,0.000,0.016920474047462143
5116,0.208056,2.000,14.000,10.000,1.000,13.000,10.000,-15.960,11.400,2.280,-18.240,9.120,2.280,0.0
5140,0.208951,18.000,14.000,8.000,17.000,13.000,8.000,20.520,11.400,-2.280,18.240,9.120,-2.280,0.0
5386,0.204701,16.000,12.000,6.000,15.000,13.000,6.000,15.960,6.840,-6.840,13.680,9.120,-6.840,0.021996615454554558
5564,0.202712,0.000,13.000,5.000,1.000,14.000,5.000,-20.520,9.120,-9.120,-18.240,11.400,-9.120,0.005076142027974129
6203,0.201550,4.000,10.000,18.000,5.000,11.000,18.000,-11.400,2.280,20.520,-9.120,4.560,20.520,0.020304568111896515
6249,0.202521,0.000,12.000,16.000,0.000,11.000,17.000,-20.520,6.840,15.960,-20.520,4.560,18.240,0.01692047342658043
6254,0.202354,2.000,10.000,18.000,1.000,11.000,18.000,-15.960,2.280,20.520,-18.240,4.560,20.520,0.0
6356,0.201631,10.000,11.000,15.000,11.000,12.000,15.000,2.280,4.560,13.680,4.560,6.840,13.680,0.001692047342658043
6692,0.205195,2.000,12.000,14.000,1.000,11.000,14.000,-15.960,6.840,11.400,-18.240,4.560,11.400,0.0
6916,0.206206,1.000,10.000,11.000,2.000,11.000,11.000,-18.240,2.280,4.560,-15.960,4.560,4.560,0.0
7280,0.198659,7.000,10.000,7.000,8.000,11.000,7.000,-4.560,2.280,-4.560,-2.280,4.560,-4.560,0.03384094685316086
7304,0.204033,5.000,10.000,7.000,6.000,11.000,7.000,-9.120,2.280,-4.560,-6.840,4.560,-4.560,0.04568527763088544
7404,0.209230,15.000,10.000,5.000,16.000,11.000,5.000,13.680,2.280,-9.120,15.960,4.560,-9.120,0.001692047342658043
7480,0.201000,8.000,11.000,5.000,9.000,12.000,5.000,-2.280,4.560,-9.120,0.000,6.840,-9.120,0.0389170895020167
