strut_id,valid_or_not,Unplanned?,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
10,True,,1.185886,18.000,16.000,18.000,17.000,17.000,18.000,20.520,15.960,20.520,18.240,18.240,20.520
214,True,,1.187583,0.000,17.000,17.000,1.000,16.000,17.000,-20.520,18.240,18.240,-18.240,15.960,18.240
946,True,,1.186163,12.000,17.000,9.000,13.000,16.000,9.000,6.840,18.240,0.000,9.120,15.960,0.000
1310,True,,1.184024,2.000,17.000,7.000,1.000,17.000,6.000,-15.960,18.240,-4.560,-18.240,18.240,-6.840
1666,True,,1.187028,8.000,16.000,2.000,8.000,17.000,3.000,-2.280,15.960,-15.960,-2.280,18.240,-13.680
1728,True,,1.186386,2.000,17.000,3.000,3.000,17.000,4.000,-15.960,18.240,-13.680,-13.680,18.240,-11.400
2251,True,,1.186024,18.000,15.000,15.000,17.000,15.000,16.000,20.520,13.680,13.680,18.240,13.680,15.960
2289,True,,1.178769,14.000,16.000,14.000,14.000,15.000,15.000,11.400,15.960,11.400,11.400,13.680,13.680
2303,True,,1.178895,13.000,16.000,15.000,13.000,15.000,16.000,9.120,15.960,13.680,9.120,13.680,15.960
2359,True,,1.184408,8.000,16.000,14.000,7.000,16.000,15.000,-2.280,15.960,11.400,-4.560,15.960,13.680
3256,True,,1.187480,6.000,15.000,7.000,7.000,15.000,8.000,-6.840,13.680,-4.560,-4.560,13.680,-2.280
4101,True,,1.184470,13.000,12.000,17.000,13.000,13.000,18.000,9.120,6.840,18.240,9.120,9.120,20.520
4495,True,,1.184048,17.000,14.000,13.000,17.000,13.000,12.000,18.240,11.400,9.120,18.240,9.120,6.840
4661,True,,1.186224,3.000,12.000,13.000,3.000,13.000,14.000,-13.680,6.840,9.120,-13.680,9.120,11.400
4747,True,,1.189382,14.000,12.000,12.000,14.000,13.000,11.000,11.400,6.840,6.840,11.400,9.120,4.560
4752,True,,1.186348,13.000,12.000,11.000,14.000,13.000,11.000,9.120,6.840,4.560,11.400,9.120,4.560
4931,True,,1.184559,17.000,14.000,9.000,17.000,13.000,10.000,18.240,11.400,0.000,18.240,9.120,2.280
5066,True,,1.185072,6.000,12.000,10.000,5.000,13.000,10.000,-6.840,6.840,2.280,-9.120,9.120,2.280
5223,True,,1.188070,11.000,14.000,7.000,11.000,13.000,8.000,4.560,11.400,-4.560,4.560,9.120,-2.280
5621,True,,1.180879,12.000,14.000,4.000,13.000,14.000,3.000,6.840,11.400,-11.400,9.120,11.400,-13.680
6166,True,True,0.208129,9.000,10.000,17.000,9.000,11.000,16.000,0.000,2.280,18.240,0.000,4.560,15.960
6234,True,,1.182966,2.000,11.000,17.000,3.000,10.000,17.000,-15.960,4.560,18.240,-13.680,2.280,18.240
6259,True,True,0.200062,2.000,11.000,17.000,1.000,11.000,18.000,-15.960,4.560,18.240,-18.240,4.560,20.520
6670,True,,1.184642,4.000,11.000,13.000,3.000,11.000,12.000,-11.400,4.560,9.120,-13.680,4.560,6.840
7225,True,,1.187687,12.000,12.000,6.000,12.000,11.000,7.000,6.840,6.840,-6.840,6.840,4.560,-4.560
7420,True,,1.187986,14.000,12.000,6.000,14.000,11.000,5.000,11.400,6.840,-6.840,11.400,4.560,-9.120
7706,True,,1.183592,9.000,10.000,3.000,9.000,11.000,2.000,0.000,2.280,-13.680,0.000,4.560,-15.960
8114,True,,1.183570,12.000,10.000,16.000,13.000,10.000,17.000,6.840,2.280,15.960,9.120,2.280,18.240
8136,True,,0.200301,12.000,10.000,18.000,11.000,10.000,17.000,6.840,2.280,20.520,4.560,2.280,18.240
8164,True,,0.208526,10.000,10.000,18.000,10.000,9.000,17.000,2.280,2.280,20.520,2.280,0.000,18.240
8442,True,,1.186899,6.000,9.000,15.000,5.000,9.000,14.000,-6.840,0.000,13.680,-9.120,0.000,11.400
8764,True,,1.184588,14.000,9.000,11.000,15.000,10.000,11.000,11.400,0.000,4.560,13.680,2.280,4.560
8823,True,,1.182304,10.000,10.000,10.000,9.000,10.000,11.000,2.280,2.280,2.280,0.000,2.280,4.560
9273,True,,1.188291,10.000,9.000,7.000,9.000,10.000,7.000,2.280,0.000,-4.560,0.000,2.280,-4.560
9303,True,,1.180971,7.000,10.000,7.000,7.000,9.000,8.000,-4.560,2.280,-4.560,-4.560,0.000,-2.280
9329,True,,1.187985,5.000,8.000,7.000,5.000,9.000,8.000,-9.120,-2.280,-4.560,-9.120,0.000,-2.280
9597,True,,1.183287,0.000,9.000,5.000,1.000,9.000,4.000,-20.520,0.000,-9.120,-18.240,0.000,-11.400
9778,True,,1.186168,4.000,8.000,2.000,4.000,9.000,3.000,-11.400,-2.280,-15.960,-11.400,0.000,-13.680
10003,True,,1.187230,4.000,8.000,2.000,5.000,9.000,2.000,-11.400,-2.280,-15.960,-9.120,0.000,-15.960
10027,,,1.182237,4.000,8.000,2.000,4.000,9.000,1.000,-11.400,-2.280,-15.960,-11.400,0.000,-18.240
