strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
210,1.184597,16.000,1.000,1.000,17.000,2.000,1.000,15.960,-18.240,-18.240,18.240,-15.960,-18.240
638,1.191468,16.000,6.000,2.000,16.000,5.000,1.000,15.960,-6.840,-15.960,15.960,-9.120,-18.240
714,1.185716,4.000,8.000,2.000,4.000,7.000,1.000,-11.400,-2.280,-15.960,-11.400,-4.560,-18.240
762,1.180886,8.000,8.000,2.000,8.000,7.000,1.000,-2.280,-2.280,-15.960,-2.280,-4.560,-18.240
839,1.183899,16.000,6.000,2.000,15.000,6.000,1.000,15.960,-6.840,-15.960,13.680,-6.840,-18.240
859,1.187678,16.000,6.000,2.000,16.000,7.000,1.000,15.960,-6.840,-15.960,15.960,-4.560,-18.240
866,1.190641,16.000,6.000,2.000,17.000,6.000,1.000,15.960,-6.840,-15.960,18.240,-6.840,-18.240
915,1.184112,4.000,8.000,2.000,3.000,8.000,1.000,-11.400,-2.280,-15.960,-13.680,-2.280,-18.240
935,1.182237,4.000,8.000,2.000,4.000,9.000,1.000,-11.400,-2.280,-15.960,-11.400,0.000,-18.240
938,1.185183,4.000,8.000,2.000,5.000,8.000,1.000,-11.400,-2.280,-15.960,-9.120,-2.280,-18.240
955,1.190859,6.000,10.000,0.000,7.000,9.000,0.000,-6.840,2.280,-20.520,-4.560,0.000,-20.520
1717,1.187759,16.000,14.000,0.000,15.000,14.000,1.000,15.960,11.400,-20.520,13.680,11.400,-18.240
2380,1.178774,12.000,2.000,2.000,13.000,3.000,2.000,6.840,-15.960,-15.960,9.120,-13.680,-15.960
2400,1.178715,13.000,2.000,3.000,14.000,3.000,3.000,9.120,-15.960,-13.680,11.400,-13.680,-13.680
2626,1.186844,16.000,6.000,2.000,15.000,5.000,2.000,15.960,-6.840,-15.960,13.680,-9.120,-15.960
2651,1.186610,16.000,6.000,2.000,17.000,5.000,2.000,15.960,-6.840,-15.960,18.240,-9.120,-15.960
2653,1.186933,16.000,6.000,2.000,16.000,5.000,3.000,15.960,-6.840,-15.960,15.960,-9.120,-13.680
2702,1.189279,4.000,8.000,2.000,3.000,7.000,2.000,-11.400,-2.280,-15.960,-13.680,-4.560,-15.960
2727,1.180987,4.000,8.000,2.000,5.000,7.000,2.000,-11.400,-2.280,-15.960,-9.120,-4.560,-15.960
2729,1.187002,4.000,8.000,2.000,4.000,7.000,3.000,-11.400,-2.280,-15.960,-11.400,-4.560,-13.680
2772,1.184145,8.000,6.000,2.000,9.000,7.000,2.000,-2.280,-6.840,-15.960,0.000,-4.560,-15.960
2845,1.187072,16.000,6.000,2.000,15.000,7.000,2.000,15.960,-6.840,-15.960,13.680,-4.560,-15.960
2853,1.186667,16.000,6.000,2.000,15.000,6.000,3.000,15.960,-6.840,-15.960,13.680,-6.840,-13.680
2868,1.185828,16.000,6.000,2.000,17.000,7.000,2.000,15.960,-6.840,-15.960,18.240,-4.560,-15.960
2872,1.186413,16.000,6.000,2.000,16.000,7.000,3.000,15.960,-6.840,-15.960,15.960,-4.560,-13.680
2880,1.187850,16.000,6.000,2.000,17.000,6.000,3.000,15.960,-6.840,-15.960,18.240,-6.840,-13.680
