strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
0,0.203055,18.000,18.000,18.000,17.000,18.000,17.000,20.520,20.520,20.520,18.240,20.520,18.240
10,1.185886,18.000,16.000,18.000,17.000,17.000,18.000,20.520,15.960,20.520,18.240,18.240,20.520
178,0.200552,4.000,16.000,18.000,3.000,17.000,18.000,-11.400,15.960,20.520,-13.680,18.240,20.520
214,1.187583,0.000,17.000,17.000,1.000,16.000,17.000,-20.520,18.240,18.240,-18.240,15.960,18.240
417,1.141684,2.000,18.000,14.000,2.000,17.000,15.000,-15.960,20.520,11.400,-15.960,18.240,13.680
434,0.204410,0.000,17.000,15.000,1.000,16.000,15.000,-20.520,18.240,13.680,-18.240,15.960,13.680
846,0.199278,2.000,17.000,11.000,3.000,16.000,11.000,-15.960,18.240,4.560,-13.680,15.960,4.560
946,1.186163,12.000,17.000,9.000,13.000,16.000,9.000,6.840,18.240,0.000,9.120,15.960,0.000
1088,0.209305,1.000,16.000,9.000,2.000,17.000,9.000,-18.240,15.960,0.000,-15.960,18.240,0.000
1310,1.184024,2.000,17.000,7.000,1.000,17.000,6.000,-15.960,18.240,-4.560,-18.240,18.240,-6.840
1475,0.206077,4.000,16.000,6.000,5.000,17.000,6.000,-11.400,15.960,-6.840,-9.120,18.240,-6.840
1666,1.187028,8.000,16.000,2.000,8.000,17.000,3.000,-2.280,15.960,-15.960,-2.280,18.240,-13.680
1728,1.186386,2.000,17.000,3.000,3.000,17.000,4.000,-15.960,18.240,-13.680,-13.680,18.240,-11.400
1763,0.212331,18.000,18.000,0.000,17.000,18.000,1.000,20.520,20.520,-20.520,18.240,20.520,-18.240
1765,0.211202,18.000,18.000,0.000,18.000,17.000,1.000,20.520,20.520,-20.520,20.520,18.240,-18.240
1766,0.205983,18.000,16.000,0.000,18.000,17.000,1.000,20.520,15.960,-20.520,20.520,18.240,-18.240
1772,0.202013,16.000,18.000,0.000,17.000,17.000,0.000,15.960,20.520,-20.520,18.240,18.240,-20.520
1773,0.203451,18.000,18.000,0.000,17.000,17.000,0.000,20.520,20.520,-20.520,18.240,18.240,-20.520
1774,0.206162,18.000,16.000,0.000,17.000,17.000,0.000,20.520,15.960,-20.520,18.240,18.240,-20.520
1775,0.205721,16.000,16.000,0.000,17.000,17.000,0.000,15.960,15.960,-20.520,18.240,18.240,-20.520
1778,0.201550,18.000,17.000,1.000,17.000,17.000,0.000,20.520,18.240,-18.240,18.240,18.240,-20.520
1781,0.203871,16.000,17.000,1.000,17.000,17.000,0.000,15.960,18.240,-18.240,18.240,18.240,-20.520
1786,0.210343,17.000,16.000,1.000,17.000,17.000,0.000,18.240,15.960,-18.240,18.240,18.240,-20.520
1787,0.201575,17.000,18.000,1.000,17.000,17.000,0.000,18.240,20.520,-18.240,18.240,18.240,-20.520
1793,0.198816,16.000,18.000,0.000,16.000,17.000,1.000,15.960,20.520,-20.520,15.960,18.240,-18.240
1794,0.209659,16.000,16.000,0.000,16.000,17.000,1.000,15.960,15.960,-20.520,15.960,18.240,-18.240
1800,0.202602,14.000,18.000,0.000,15.000,17.000,0.000,11.400,20.520,-20.520,13.680,18.240,-20.520
1801,0.203652,16.000,18.000,0.000,15.000,17.000,0.000,15.960,20.520,-20.520,13.680,18.240,-20.520
1802,0.202309,16.000,16.000,0.000,15.000,17.000,0.000,15.960,15.960,-20.520,13.680,18.240,-20.520
