strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm,x0_ct,y0_ct,z0_ct,x1_ct,y1_ct,z1_ct,x_mid_ct,y_mid_ct,z_mid_ct
210,1.184597,16.000,1.000,1.000,17.000,2.000,1.000,15.960,-18.240,-18.240,18.240,-15.960,-18.240,691.321,88.568,66.365,731.010,127.855,66.288,711.165,108.211,66.326
638,1.191468,16.000,6.000,2.000,16.000,5.000,1.000,15.960,-6.840,-15.960,15.960,-9.120,-18.240,692.293,286.118,105.307,692.124,246.520,65.928,692.209,266.319,85.617
714,1.185716,4.000,8.000,2.000,4.000,7.000,1.000,-11.400,-2.280,-15.960,-11.400,-4.560,-18.240,218.835,367.504,104.696,218.667,327.906,65.317,218.751,347.705,85.006
762,1.180886,8.000,8.000,2.000,8.000,7.000,1.000,-2.280,-2.280,-15.960,-2.280,-4.560,-18.240,376.789,366.701,104.827,376.620,327.103,65.447,376.704,346.902,85.137
839,1.183899,16.000,6.000,2.000,15.000,6.000,1.000,15.960,-6.840,-15.960,13.680,-6.840,-18.240,692.293,286.118,105.307,652.837,286.209,65.786,672.565,286.164,85.546
859,1.187678,16.000,6.000,2.000,16.000,7.000,1.000,15.960,-6.840,-15.960,15.960,-4.560,-18.240,692.293,286.118,105.307,692.526,325.497,65.709,692.410,305.807,85.508
866,1.190641,16.000,6.000,2.000,17.000,6.000,1.000,15.960,-6.840,-15.960,18.240,-6.840,-18.240,692.293,286.118,105.307,731.814,285.808,65.851,712.053,285.963,85.579
915,1.184112,4.000,8.000,2.000,3.000,8.000,1.000,-11.400,-2.280,-15.960,-13.680,-2.280,-18.240,218.835,367.504,104.696,179.379,367.595,65.175,199.107,367.549,84.935
935,1.182237,4.000,8.000,2.000,4.000,9.000,1.000,-11.400,-2.280,-15.960,-11.400,0.000,-18.240,218.835,367.504,104.696,219.069,406.882,65.098,218.952,387.193,84.897
938,1.185183,4.000,8.000,2.000,5.000,8.000,1.000,-11.400,-2.280,-15.960,-9.120,-2.280,-18.240,218.835,367.504,104.696,258.356,367.194,65.240,238.596,367.349,84.968
955,1.190859,6.000,10.000,0.000,7.000,9.000,0.000,-6.840,2.280,-20.520,-4.560,0.000,-20.520,298.278,445.860,25.566,337.566,406.171,25.708,317.922,426.015,25.637
1717,1.187759,16.000,14.000,0.000,15.000,14.000,1.000,15.960,11.400,-20.520,13.680,11.400,-18.240,693.965,601.804,25.456,654.444,602.114,64.912,674.204,601.959,45.184
2380,1.178774,12.000,2.000,2.000,13.000,3.000,2.000,6.840,-15.960,-15.960,9.120,-13.680,-15.960,533.536,128.968,105.613,573.226,168.256,105.537,553.381,148.612,105.575
2400,1.178715,13.000,2.000,3.000,14.000,3.000,3.000,9.120,-15.960,-13.680,11.400,-13.680,-13.680,572.993,128.877,145.135,612.682,168.164,145.058,592.837,148.521,145.096
2626,1.186844,16.000,6.000,2.000,15.000,5.000,2.000,15.960,-6.840,-15.960,13.680,-9.120,-15.960,692.293,286.118,105.307,652.604,246.831,105.384,672.449,266.474,105.345
2651,1.186610,16.000,6.000,2.000,17.000,5.000,2.000,15.960,-6.840,-15.960,18.240,-9.120,-15.960,692.293,286.118,105.307,731.581,246.429,105.449,711.937,266.273,105.378
2653,1.186933,16.000,6.000,2.000,16.000,5.000,3.000,15.960,-6.840,-15.960,15.960,-9.120,-13.680,692.293,286.118,105.307,692.060,246.739,144.905,692.177,266.428,125.106
2702,1.189279,4.000,8.000,2.000,3.000,7.000,2.000,-11.400,-2.280,-15.960,-13.680,-4.560,-15.960,218.835,367.504,104.696,179.146,328.216,104.772,198.991,347.860,104.734
2727,1.180987,4.000,8.000,2.000,5.000,7.000,2.000,-11.400,-2.280,-15.960,-9.120,-4.560,-15.960,218.835,367.504,104.696,258.123,327.815,104.838,238.479,347.659,104.767
2729,1.187002,4.000,8.000,2.000,4.000,7.000,3.000,-11.400,-2.280,-15.960,-11.400,-4.560,-13.680,218.835,367.504,104.696,218.602,328.125,144.294,218.719,347.814,124.495
2772,1.184145,8.000,6.000,2.000,9.000,7.000,2.000,-2.280,-6.840,-15.960,0.000,-4.560,-15.960,376.387,287.724,105.045,416.076,327.012,104.969,396.231,307.368,105.007
2845,1.187072,16.000,6.000,2.000,15.000,7.000,2.000,15.960,-6.840,-15.960,13.680,-4.560,-15.960,692.293,286.118,105.307,653.006,325.807,105.165,672.649,305.962,105.236
2853,1.186667,16.000,6.000,2.000,15.000,6.000,3.000,15.960,-6.840,-15.960,13.680,-6.840,-13.680,692.293,286.118,105.307,652.773,286.428,144.763,672.533,286.273,125.035
2868,1.185828,16.000,6.000,2.000,17.000,7.000,2.000,15.960,-6.840,-15.960,18.240,-4.560,-15.960,692.293,286.118,105.307,731.982,325.405,105.231,712.138,305.762,105.269
2872,1.186413,16.000,6.000,2.000,16.000,7.000,3.000,15.960,-6.840,-15.960,15.960,-4.560,-13.680,692.293,286.118,105.307,692.462,325.715,144.687,692.378,305.917,124.997
2880,1.187850,16.000,6.000,2.000,17.000,6.000,3.000,15.960,-6.840,-15.960,18.240,-6.840,-13.680,692.293,286.118,105.307,731.749,286.026,144.828,712.021,286.072,125.068
2921,1.183752,4.000,8.000,2.000,3.000,9.000,2.000,-11.400,-2.280,-15.960,-13.680,0.000,-15.960,218.835,367.504,104.696,179.548,407.193,104.554,199.192,387.348,104.625
2929,1.188299,4.000,8.000,2.000,3.000,8.000,3.000,-11.400,-2.280,-15.960,-13.680,-2.280,-13.680,218.835,367.504,104.696,179.315,367.814,144.152,199.075,367.659,124.424
2944,1.187230,4.000,8.000,2.000,5.000,9.000,2.000,-11.400,-2.280,-15.960,-9.120,0.000,-15.960,218.835,367.504,104.696,258.525,406.791,104.619,238.680,387.147,104.658
2948,1.186168,4.000,8.000,2.000,4.000,9.000,3.000,-11.400,-2.280,-15.960,-11.400,0.000,-13.680,218.835,367.504,104.696,219.004,407.101,144.075,218.920,387.302,124.386
2952,1.179806,4.000,8.000,2.000,5.000,8.000,3.000,-11.400,-2.280,-15.960,-9.120,-2.280,-13.680,218.835,367.504,104.696,258.292,367.412,144.217,238.564,367.458,124.457
3231,1.183592,9.000,10.000,3.000,9.000,11.000,2.000,0.000,2.280,-13.680,0.000,4.560,-15.960,416.647,445.585,144.130,416.880,484.964,104.532,416.763,465.275,124.331
3710,1.180879,12.000,14.000,4.000,13.000,14.000,3.000,6.840,11.400,-11.400,9.120,11.400,-13.680,535.883,603.045,183.280,575.403,602.735,143.824,555.643,602.890,163.552
3820,1.186386,2.000,17.000,3.000,3.000,17.000,4.000,-15.960,18.240,-13.680,-13.680,18.240,-11.400,141.635,723.408,143.136,181.091,723.317,182.657,161.363,723.362,162.897
3892,1.187028,8.000,16.000,2.000,8.000,17.000,3.000,-2.280,15.960,-15.960,-2.280,18.240,-13.680,378.396,682.606,103.953,378.564,722.203,143.332,378.480,702.404,123.643
4102,1.186498,5.000,2.000,5.000,5.000,1.000,6.000,-9.120,-15.960,-9.120,-9.120,-18.240,-6.840,257.022,130.702,223.850,256.789,91.324,263.448,256.905,111.013,243.649
4281,1.182369,2.000,4.000,4.000,2.000,3.000,5.000,-15.960,-11.400,-11.400,-15.960,-13.680,-9.120,138.991,210.172,184.045,138.758,170.793,223.643,138.875,190.482,203.844
4660,1.178947,15.000,4.000,5.000,16.000,5.000,5.000,13.680,-11.400,-9.120,15.960,-9.120,-9.120,652.307,207.671,223.959,691.996,246.958,223.882,672.151,227.314,223.921
