strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
0,0.203055,18.000,18.000,18.000,17.000,18.000,17.000,20.520,20.520,20.520,18.240,20.520,18.240
178,0.200552,4.000,16.000,18.000,3.000,17.000,18.000,-11.400,15.960,20.520,-13.680,18.240,20.520
417,1.141684,2.000,18.000,14.000,2.000,17.000,15.000,-15.960,20.520,11.400,-15.960,18.240,13.680
434,0.204410,0.000,17.000,15.000,1.000,16.000,15.000,-20.520,18.240,13.680,-18.240,15.960,13.680
846,0.199278,2.000,17.000,11.000,3.000,16.000,11.000,-15.960,18.240,4.560,-13.680,15.960,4.560
1088,0.209305,1.000,16.000,9.000,2.000,17.000,9.000,-18.240,15.960,0.000,-15.960,18.240,0.000
1475,0.206077,4.000,16.000,6.000,5.000,17.000,6.000,-11.400,15.960,-6.840,-9.120,18.240,-6.840
1950,0.202646,4.000,17.000,1.000,5.000,16.000,1.000,-11.400,18.240,-18.240,-9.120,15.960,-18.240
2074,0.203031,14.000,14.000,18.000,13.000,15.000,18.000,11.400,11.400,20.520,9.120,13.680,20.520
2412,0.199200,4.000,16.000,16.000,3.000,15.000,16.000,-11.400,15.960,15.960,-13.680,13.680,15.960
2640,0.203208,2.000,15.000,13.000,3.000,16.000,13.000,-15.960,13.680,9.120,-13.680,15.960,9.120
2888,0.201720,0.000,15.000,11.000,1.000,16.000,11.000,-20.520,13.680,4.560,-18.240,15.960,4.560
2931,0.208104,14.000,14.000,10.000,15.000,15.000,10.000,11.400,11.400,2.280,13.680,13.680,2.280
3254,0.200187,6.000,15.000,7.000,7.000,14.000,7.000,-6.840,13.680,-4.560,-4.560,11.400,-4.560
3544,0.199874,1.000,14.000,5.000,2.000,15.000,5.000,-18.240,11.400,-9.120,-15.960,13.680,-9.120
3815,0.207340,14.000,14.000,2.000,15.000,15.000,2.000,11.400,11.400,-15.960,13.680,13.680,-15.960
3954,0.209405,6.000,14.000,2.000,5.000,15.000,2.000,-6.840,11.400,-15.960,-9.120,13.680,-15.960
4215,0.200453,4.000,13.000,17.000,3.000,13.000,18.000,-11.400,9.120,18.240,-13.680,9.120,20.520
4221,0.210223,3.000,12.000,17.000,3.000,13.000,18.000,-13.680,6.840,18.240,-13.680,9.120,20.520
4340,0.197439,10.000,13.000,15.000,11.000,14.000,15.000,2.280,9.120,13.680,4.560,11.400,13.680
4655,0.200600,4.000,13.000,13.000,3.000,13.000,14.000,-11.400,9.120,9.120,-13.680,9.120,11.400
4923,0.205378,16.000,12.000,10.000,17.000,13.000,10.000,15.960,6.840,2.280,18.240,9.120,2.280
5116,0.208056,2.000,14.000,10.000,1.000,13.000,10.000,-15.960,11.400,2.280,-18.240,9.120,2.280
5564,0.202712,0.000,13.000,5.000,1.000,14.000,5.000,-20.520,9.120,-9.120,-18.240,11.400,-9.120
5784,0.203789,0.000,13.000,3.000,1.000,14.000,3.000,-20.520,9.120,-13.680,-18.240,11.400,-13.680
6127,0.206722,12.000,10.000,18.000,12.000,11.000,17.000,6.840,2.280,20.520,6.840,4.560,18.240
6141,0.211425,11.000,10.000,17.000,11.000,11.000,18.000,4.560,2.280,18.240,4.560,4.560,20.520
6151,0.210028,10.000,10.000,18.000,10.000,11.000,17.000,2.280,2.280,20.520,2.280,4.560,18.240
6176,0.206067,8.000,12.000,18.000,7.000,11.000,18.000,-2.280,6.840,20.520,-4.560,4.560,20.520
6225,0.198238,2.000,12.000,18.000,3.000,11.000,18.000,-15.960,6.840,20.520,-13.680,4.560,20.520
6245,0.206785,2.000,12.000,16.000,2.000,11.000,17.000,-15.960,6.840,15.960,-15.960,4.560,18.240
6247,0.207323,2.000,10.000,18.000,2.000,11.000,17.000,-15.960,2.280,20.520,-15.960,4.560,18.240
6265,0.210564,1.000,10.000,17.000,1.000,11.000,18.000,-18.240,2.280,18.240,-18.240,4.560,20.520
6470,0.199985,0.000,10.000,16.000,0.000,11.000,15.000,-20.520,2.280,15.960,-20.520,4.560,13.680
6692,0.205195,2.000,12.000,14.000,1.000,11.000,14.000,-15.960,6.840,11.400,-18.240,4.560,11.400
6916,0.206206,1.000,10.000,11.000,2.000,11.000,11.000,-18.240,2.280,4.560,-15.960,4.560,4.560
7280,0.198659,7.000,10.000,7.000,8.000,11.000,7.000,-4.560,2.280,-4.560,-2.280,4.560,-4.560
7304,0.204033,5.000,10.000,7.000,6.000,11.000,7.000,-9.120,2.280,-4.560,-6.840,4.560,-4.560
7480,0.201000,8.000,11.000,5.000,9.000,12.000,5.000,-2.280,4.560,-9.120,0.000,6.840,-9.120
8071,0.209707,18.000,8.000,18.000,18.000,9.000,17.000,20.520,-2.280,20.520,20.520,0.000,18.240
8123,0.204777,12.000,8.000,18.000,13.000,9.000,18.000,6.840,-2.280,20.520,9.120,0.000,20.520
8147,0.201494,10.000,8.000,18.000,11.000,9.000,18.000,2.280,-2.280,20.520,4.560,0.000,20.520
8157,0.209113,11.000,8.000,17.000,11.000,9.000,18.000,4.560,-2.280,18.240,4.560,0.000,20.520
8160,0.202948,10.000,10.000,18.000,9.000,10.000,17.000,2.280,2.280,20.520,0.000,2.280,18.240
8170,0.205849,10.000,8.000,18.000,9.000,9.000,18.000,2.280,-2.280,20.520,0.000,0.000,20.520
8173,0.204471,10.000,9.000,17.000,9.000,10.000,17.000,2.280,0.000,18.240,0.000,2.280,18.240
8175,0.204812,10.000,9.000,17.000,9.000,9.000,18.000,2.280,0.000,18.240,0.000,0.000,20.520
8181,0.203048,9.000,8.000,17.000,9.000,9.000,18.000,0.000,-2.280,18.240,0.000,0.000,20.520
8265,0.198121,0.000,10.000,16.000,0.000,9.000,17.000,-20.520,2.280,15.960,-20.520,0.000,18.240
8389,0.202502,8.000,10.000,16.000,9.000,9.000,16.000,-2.280,2.280,15.960,0.000,0.000,15.960
8477,0.208400,0.000,10.000,16.000,1.000,10.000,15.000,-20.520,2.280,15.960,-18.240,2.280,13.680
8657,0.203590,4.000,10.000,14.000,5.000,9.000,14.000,-11.400,2.280,11.400,-9.120,0.000,11.400
8936,0.196473,0.000,9.000,11.000,1.000,10.000,11.000,-20.520,0.000,4.560,-18.240,2.280,4.560
8956,0.202620,17.000,8.000,9.000,18.000,9.000,9.000,18.240,-2.280,0.000,20.520,0.000,0.000
8976,0.200991,16.000,10.000,10.000,15.000,9.000,10.000,15.960,2.280,2.280,13.680,0.000,2.280
9663,0.199371,12.000,8.000,4.000,13.000,9.000,4.000,6.840,-2.280,-11.400,9.120,0.000,-11.400
9709,0.206316,8.000,10.000,4.000,9.000,9.000,4.000,-2.280,2.280,-11.400,0.000,0.000,-11.400
9712,0.203075,9.000,8.000,3.000,10.000,9.000,3.000,0.000,-2.280,-13.680,2.280,0.000,-13.680
9735,0.202373,6.000,8.000,4.000,7.000,9.000,4.000,-6.840,-2.280,-11.400,-4.560,0.000,-11.400
10177,0.206253,8.000,8.000,18.000,9.000,8.000,17.000,-2.280,-2.280,20.520,0.000,-2.280,18.240
10260,0.195646,3.000,6.000,17.000,4.000,7.000,17.000,-13.680,-6.840,18.240,-11.400,-4.560,18.240
10340,0.202909,14.000,7.000,15.000,15.000,8.000,15.000,11.400,-4.560,13.680,13.680,-2.280,13.680
10969,0.205034,16.000,8.000,10.000,17.000,7.000,10.000,15.960,-2.280,2.280,18.240,-4.560,2.280
11237,0.203225,12.000,8.000,8.000,13.000,7.000,8.000,6.840,-2.280,-2.280,9.120,-4.560,-2.280
11681,0.198226,14.000,7.000,3.000,13.000,8.000,3.000,11.400,-4.560,-13.680,9.120,-2.280,-13.680
11708,0.206224,10.000,7.000,3.000,11.000,8.000,3.000,2.280,-4.560,-13.680,4.560,-2.280,-13.680
11801,0.201577,4.000,7.000,3.000,3.000,8.000,3.000,-11.400,-4.560,-13.680,-13.680,-2.280,-13.680
11991,0.207923,6.000,6.000,2.000,7.000,7.000,2.000,-6.840,-6.840,-15.960,-4.560,-4.560,-15.960
12156,0.204706,13.000,4.000,17.000,14.000,5.000,17.000,9.120,-11.400,18.240,11.400,-9.120,18.240
12328,0.199250,17.000,4.000,15.000,18.000,5.000,15.000,18.240,-11.400,13.680,20.520,-9.120,13.680
12399,0.203277,10.000,4.000,16.000,11.000,5.000,16.000,2.280,-11.400,15.960,4.560,-9.120,15.960
12578,0.203671,14.000,5.000,13.000,15.000,4.000,13.000,11.400,-9.120,9.120,13.680,-11.400,9.120
12960,0.204601,2.000,6.000,12.000,1.000,5.000,12.000,-15.960,-6.840,6.840,-18.240,-9.120,6.840
13016,0.203031,14.000,5.000,9.000,15.000,6.000,9.000,11.400,-9.120,0.000,13.680,-6.840,0.000
13107,0.203323,6.000,4.000,10.000,7.000,5.000,10.000,-6.840,-11.400,2.280,-4.560,-9.120,2.280
13449,0.204087,14.000,6.000,6.000,15.000,5.000,6.000,11.400,-6.840,-6.840,13.680,-9.120,-6.840
13644,0.204381,18.000,6.000,4.000,17.000,5.000,4.000,20.520,-6.840,-11.400,18.240,-9.120,-11.400
13921,0.204797,12.000,6.000,2.000,13.000,5.000,2.000,6.840,-6.840,-15.960,9.120,-9.120,-15.960
14074,0.199905,2.000,5.000,1.000,3.000,4.000,1.000,-15.960,-9.120,-18.240,-13.680,-11.400,-18.240
14104,0.202525,0.000,5.000,1.000,1.000,6.000,1.000,-20.520,-9.120,-18.240,-18.240,-6.840,-18.240
14292,0.205395,3.000,2.000,17.000,4.000,3.000,17.000,-13.680,-15.960,18.240,-11.400,-13.680,18.240
14295,0.201369,4.000,3.000,17.000,3.000,3.000,18.000,-11.400,-13.680,18.240,-13.680,-13.680,20.520
14487,0.204058,4.000,2.000,16.000,5.000,3.000,16.000,-11.400,-15.960,15.960,-9.120,-13.680,15.960
14893,0.196629,6.000,4.000,12.000,7.000,4.000,11.000,-6.840,-11.400,6.840,-4.560,-11.400,4.560
14927,0.202742,4.000,2.000,12.000,5.000,3.000,12.000,-11.400,-15.960,6.840,-9.120,-13.680,6.840
15122,0.202644,8.000,2.000,10.000,7.000,3.000,10.000,-2.280,-15.960,2.280,-4.560,-13.680,2.280
15294,0.206906,12.000,2.000,8.000,11.000,3.000,8.000,6.840,-15.960,-2.280,4.560,-13.680,-2.280
15660,0.202075,18.000,4.000,4.000,17.000,3.000,4.000,20.520,-11.400,-11.400,18.240,-13.680,-11.400
15689,0.198660,16.000,3.000,3.000,15.000,4.000,3.000,15.960,-13.680,-13.680,13.680,-11.400,-13.680
15759,0.204940,8.000,2.000,4.000,9.000,3.000,4.000,-2.280,-15.960,-11.400,0.000,-13.680,-11.400
15992,0.200474,10.000,4.000,2.000,9.000,3.000,2.000,2.280,-11.400,-15.960,0.000,-13.680,-15.960
17248,0.201345,12.000,2.000,10.000,11.000,1.000,10.000,6.840,-15.960,2.280,4.560,-18.240,2.280
17902,0.206674,0.000,0.000,6.000,0.000,1.000,5.000,-20.520,-20.520,-6.840,-20.520,-18.240,-9.120
18158,0.199806,0.000,0.000,4.000,0.000,1.000,3.000,-20.520,-20.520,-11.400,-20.520,-18.240,-13.680
18446,0.204107,0.000,0.000,2.000,0.000,1.000,1.000,-20.520,-20.520,-15.960,-20.520,-18.240,-18.240
