strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
0,0.203055,18.000,18.000,18.000,17.000,18.000,17.000,20.520,20.520,20.520,18.240,20.520,18.240
10,1.185886,18.000,16.000,18.000,17.000,17.000,18.000,20.520,15.960,20.520,18.240,18.240,20.520
178,0.200552,4.000,16.000,18.000,3.000,17.000,18.000,-11.400,15.960,20.520,-13.680,18.240,20.520
214,1.187583,0.000,17.000,17.000,1.000,16.000,17.000,-20.520,18.240,18.240,-18.240,15.960,18.240
417,1.141684,2.000,18.000,14.000,2.000,17.000,15.000,-15.960,20.520,11.400,-15.960,18.240,13.680
434,0.204410,0.000,17.000,15.000,1.000,16.000,15.000,-20.520,18.240,13.680,-18.240,15.960,13.680
846,0.199278,2.000,17.000,11.000,3.000,16.000,11.000,-15.960,18.240,4.560,-13.680,15.960,4.560
946,1.186163,12.000,17.000,9.000,13.000,16.000,9.000,6.840,18.240,0.000,9.120,15.960,0.000
1088,0.209305,1.000,16.000,9.000,2.000,17.000,9.000,-18.240,15.960,0.000,-15.960,18.240,0.000
1310,1.184024,2.000,17.000,7.000,1.000,17.000,6.000,-15.960,18.240,-4.560,-18.240,18.240,-6.840
1475,0.206077,4.000,16.000,6.000,5.000,17.000,6.000,-11.400,15.960,-6.840,-9.120,18.240,-6.840
1666,1.187028,8.000,16.000,2.000,8.000,17.000,3.000,-2.280,15.960,-15.960,-2.280,18.240,-13.680
1728,1.186386,2.000,17.000,3.000,3.000,17.000,4.000,-15.960,18.240,-13.680,-13.680,18.240,-11.400
1950,0.202646,4.000,17.000,1.000,5.000,16.000,1.000,-11.400,18.240,-18.240,-9.120,15.960,-18.240
2061,0.193643,15.000,14.000,17.000,15.000,15.000,18.000,13.680,11.400,18.240,13.680,13.680,20.520
2074,0.203031,14.000,14.000,18.000,13.000,15.000,18.000,11.400,11.400,20.520,9.120,13.680,20.520
2251,1.186024,18.000,15.000,15.000,17.000,15.000,16.000,20.520,13.680,13.680,18.240,13.680,15.960
2289,1.178769,14.000,16.000,14.000,14.000,15.000,15.000,11.400,15.960,11.400,11.400,13.680,13.680
2302,0.199854,12.000,15.000,15.000,13.000,14.000,15.000,6.840,13.680,13.680,9.120,11.400,13.680
2303,1.178895,13.000,16.000,15.000,13.000,15.000,16.000,9.120,15.960,13.680,9.120,13.680,15.960
2359,1.184408,8.000,16.000,14.000,7.000,16.000,15.000,-2.280,15.960,11.400,-4.560,15.960,13.680
2412,0.199200,4.000,16.000,16.000,3.000,15.000,16.000,-11.400,15.960,15.960,-13.680,13.680,15.960
2640,0.203208,2.000,15.000,13.000,3.000,16.000,13.000,-15.960,13.680,9.120,-13.680,15.960,9.120
2888,0.201720,0.000,15.000,11.000,1.000,16.000,11.000,-20.520,13.680,4.560,-18.240,15.960,4.560
2931,0.208104,14.000,14.000,10.000,15.000,15.000,10.000,11.400,11.400,2.280,13.680,13.680,2.280
3199,0.202107,10.000,14.000,8.000,11.000,15.000,8.000,2.280,11.400,-2.280,4.560,13.680,-2.280
3254,0.200187,6.000,15.000,7.000,7.000,14.000,7.000,-6.840,13.680,-4.560,-4.560,11.400,-4.560
3256,1.187480,6.000,15.000,7.000,7.000,15.000,8.000,-6.840,13.680,-4.560,-4.560,13.680,-2.280
3544,0.199874,1.000,14.000,5.000,2.000,15.000,5.000,-18.240,11.400,-9.120,-15.960,13.680,-9.120
